species,nt,ntp1,oviposition_days,chaff_presence,temp,rh,exp_name,output_eggs
A,1000,488,7,0,22.5,70,cc_cold,NA
A,1000,463,7,0,22.5,70,cc_cold,NA
A,1000,491,7,0,22.5,70,cc_cold,NA
A,1000,178,7,1,22.5,70,cc_cold,NA
A,500,409,7,0,22.5,70,cc_cold,NA
A,19,346,7.08333,0,31,70,castaneum_chaos,NA
A,68,277,7.08333,0,31,70,castaneum_chaos,NA
A,22,313,7.08333,0,31,70,castaneum_chaos,NA
A,72,183,7.08333,0,31,70,castaneum_chaos,NA
A,74,304,7.08333,0,31,70,castaneum_chaos,NA
A,72,278,7.08333,0,31,70,castaneum_chaos,NA
A,16,252,7.08333,0,31,70,castaneum_chaos,NA
A,44,328,7.08333,0,31,70,castaneum_chaos,NA
A,8,296,7.08333,0,31,70,castaneum_chaos,NA
A,36,320,7.08333,0,31,70,castaneum_chaos,NA
A,56,22,7.08333,1,31,70,castaneum_chaos,NA
A,42,247,7.08333,0,31,70,castaneum_chaos,NA
A,11,298,7.08333,0,31,70,castaneum_chaos,NA
A,86,180,7.08333,0,31,70,castaneum_chaos,NA
A,50,298,7.08333,0,31,70,castaneum_chaos,NA
A,20,323,7.08333,0,31,70,castaneum_chaos,NA
A,12,282,7.08333,0,31,70,castaneum_chaos,NA
A,26,296,7.08333,0,31,70,castaneum_chaos,NA
A,9,249,7.08333,0,31,70,castaneum_chaos,NA
A,17,339,7.08333,0,31,70,castaneum_chaos,NA
A,54,310,7.08333,0,31,70,castaneum_chaos,NA
A,44,287,7.08333,0,31,70,castaneum_chaos,NA
A,76,254,7.08333,0,31,70,castaneum_chaos,NA
A,14,328,7.08333,0,31,70,castaneum_chaos,NA
A,82,277,7.08333,0,31,70,castaneum_chaos,NA
A,19,302,7.08333,0,31,70,castaneum_chaos,NA
A,66,250,7.08333,0,31,70,castaneum_chaos,NA
A,56,288,7.08333,0,31,70,castaneum_chaos,NA
A,70,302,7.08333,0,31,70,castaneum_chaos,NA
A,15,262,7.08333,0,31,70,castaneum_chaos,NA
A,40,288,7.08333,0,31,70,castaneum_chaos,NA
A,8,244,7.08333,0,31,70,castaneum_chaos,NA
A,5,1,7.08333,0,31,70,castaneum_chaos,NA
